farmacia,nome,marca,ean_gtin,preco_de,preco_por,preco_cartao,preco_pix,desconto_pct,url,data_coleta
FarmaPonte,Dorflex 10 Comprimidos,Sanofi,7891058008628,8.51,8.51,8.51,8.34,0.0,https://www.farmaponte.com.br/dorflex-10cpr-x30/p,2026-05-05 09:09:08
FarmaPonte,"Rosuvastatina Calcica Ems 20Mg, Caixa Com 30 Comprimidos Revestidos",EMS,7896004728858,211.85,42.37,42.37,41.52,80.0,https://www.farmaponte.com.br/rosuvastatina-calcica-ems-20mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:08
FarmaPonte,"Sinvastatina Multilab Nova Quimica 20Mg, Caixa Com 30 Comprimidos Revestidos",Multilab,7895296449274,19.79,6.73,6.73,3.57,65.99,https://www.farmaponte.com.br/sinvastatina-multilab-20mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:09
FarmaPonte,"Salicetil 100Mg, Blister Com 10 Comprimidos",Brasterápica,7898100242757,2.44,2.44,2.44,2.39,0.0,https://www.farmaponte.com.br/salicetil-100mg-blister-com-10-comprimidos/p,2026-05-05 09:09:10
FarmaPonte,"Sal De Frutas Eno 2 Envelopes Com 5G De Po Efervescente De Uso Oral, Laranja",PF Consumer Healthcare,7896015560034,4.99,4.99,4.99,4.89,0.0,https://www.farmaponte.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-laranja/p,2026-05-05 09:09:10
FarmaPonte,Aflexa colágeno 60 cápsulas,Kester,7908135001417,89.9,89.9,89.9,88.1,0.0,https://www.farmaponte.com.br/aflexa-60cps/p,2026-05-05 09:09:10
FarmaPonte,"Neosoro Fluid Alto Volume 0,9  para Lavagem Nasal com 30 Sachês e Frasco Aplicador de 240mL",,7896714295305,95.85,51.0,51.0,47.43,46.79,https://www.farmaponte.com.br/neosoro-fluid-alto-volume-09-para-lavagem-nasal-com-30-saches-e-frasco-aplicador-de-240ml/p,2026-05-05 09:09:11
FarmaPonte,Repelente xo inseto icaridina 25  spr 100ml,,7897947613072,96.97,52.9,52.9,,45.45,https://www.farmaponte.com.br/repelente-xo-inseto-icaridina-25-spr-100ml/p,2026-05-05 09:09:11
FarmaPonte,Sintocalmy 600mg 30 Comprimidos Revestidos,Aché,7896658021428,91.0,79.19,79.19,77.61,12.98,https://www.farmaponte.com.br/sintocalmy-600mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:12
FarmaPonte,"Melagriao 0,125Mg Ml + 0,125Mg Ml + 0,0064Mg Ml, Caixa Com 1 Frasco Com 150Ml De Xarope",Catarinense Pharma,7896023719899,27.3,27.3,27.3,26.75,0.0,https://www.farmaponte.com.br/melagriao-0125mgml-0125mgml-00064mgml-caixa-com-1-frasco-com-150ml-de-xarope/p,2026-05-05 09:09:12
FarmaPonte,Nicorette 4 Mg Mint 30 Gomas,Janssen-Cilag,7891010970888,112.98,112.98,112.98,110.72,0.0,https://www.farmaponte.com.br/nicorette-4mg-mint-30gomas/p,2026-05-05 09:09:12
FarmaPonte,Cloridrato de Metformina 850mg Teuto,Teuto,7896112126485,13.09,6.28,6.28,6.15,52.02,https://www.farmaponte.com.br/metformina-850-30-teu-gen/p,2026-05-05 09:09:13
FarmaPonte,"Naridrin 1Mg Ml + 0,2Mg Ml + 5Mg Ml, Caixa Com 1 Frasco Com 30Ml De Solucao De Uso Nasal",EMS,7896004714578,38.96,16.05,16.05,15.73,58.8,https://www.farmaponte.com.br/naridrin-1mgml-02mgml-5mgml-caixa-com-1-frasco-com-30ml-de-solucao-de-uso-nasal/p,2026-05-05 09:09:13
FarmaPonte,"Ducodil 5Mg, Caixa Com 20 Comprimidos Revestidos",Cimed,7896523210865,11.67,8.65,8.65,5.54,25.88,https://www.farmaponte.com.br/ducodil-5mg-caixa-com-20-comprimidos-revestidos/p,2026-05-05 09:09:13
FarmaPonte,"Ácido Ursodesoxicólico EMS 300mg, caixa com 30 comprimidos",,7896004780191,200.46,124.29,124.3,105.65,38.0,https://www.farmaponte.com.br/acido-ursodesoxicolico-ems-300mg-caixa-com-30-comprimidos/p,2026-05-05 09:09:13
FarmaPonte,Minancora Pomada 30 Gramas,Minâncora,7896044600091,22.01,18.59,18.59,18.22,15.54,https://www.farmaponte.com.br/minancora-pom-30gr/p,2026-05-05 09:09:14
FarmaPonte,Alendronato sod 70mg 4cpr ger,,7896004715353,74.42,4.9,4.9,4.8,93.42,https://www.farmaponte.com.br/alendronato-sod-70mg-4cpr-ger/p,2026-05-05 09:09:14
FarmaPonte,Pantogar Neo com 90 Capsulas,,7896112407164,200.96,178.51,178.5,174.94,11.17,https://www.farmaponte.com.br/pantogar-neo-com-90-capsulas/p,2026-05-05 09:09:15
FarmaPonte,Fortice Com 30 Comprimidos,,7891317007560,223.9,194.99,195.0,191.09,12.91,https://www.farmaponte.com.br/fortice-com-30-comprimidos/p,2026-05-05 09:09:15
FarmaPonte,"Allegra 6Mg Ml, Caixa Com 1 Frasco Com 60Ml De Suspensao De Uso Oral",Sanofi,7891058002589,40.1,36.84,36.84,36.1,8.13,https://www.farmaponte.com.br/allegra-6mgml-caixa-com-1-frasco-com-60ml-de-suspensao-de-uso-oral-seringa-dosadora/p,2026-05-05 09:09:15
FarmaPonte,Cetobeta creme bisnaga 30g,,7898168001280,42.74,28.48,28.48,27.91,33.36,https://www.farmaponte.com.br/cetobeta-cre-30gr/p,2026-05-05 09:09:16
FarmaPonte,"Glifage Xr 500Mg, Caixa Com 30 Comprimidos De Acao Prolongada",Merck,7891721201806,12.2,8.99,8.99,8.81,26.31,https://www.farmaponte.com.br/glifage-xr-500mg-caixa-com-30-comprimidos-de-acao-prolongada/p,2026-05-05 09:09:16
FarmaPonte,"Cocyntal 3,333mg + 3,333mg + 3,333mg, 10 Flaconetes Com 1mL De Solucao De Uso Oral",Boiron,7898927111274,110.0,89.99,89.99,88.19,18.19,https://www.farmaponte.com.br/cocyntal-3333mg-3333mg-3333mg-10-flaconetes-com-1ml-de-solucao-de-uso-oral/p,2026-05-05 09:09:16
FarmaPonte,"Dipirona Monoidratada Comprimido Ems 500Mg, Blister Com 10 Comprimidos",EMS,7896004703398,9.55,6.69,6.69,6.56,29.95,https://www.farmaponte.com.br/dipirona-monoidratada-comprimido-ems-500mg-blister-com-10-comprimidos/p,2026-05-05 09:09:16
FarmaPonte,Tadalafila 20mg 4 comprimidos EMS Genérico,,7896004749648,42.92,17.17,17.17,16.83,60.0,https://www.farmaponte.com.br/tadalafila-20mg-4-comprimidos-ems-generico/p,2026-05-05 09:09:16
FarmaPonte,"Valsartana Hct 80Mg + 12,5Mg, Caixa Com 30 Comprimidos Revestidos",,7896181922797,64.07,49.33,49.33,48.34,23.01,https://www.farmaponte.com.br/valsartana-hct-80mg-125mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:17
FarmaPonte,"Cloridrato De Tansulosina Ems 0,4Mg, Caixa Com 30 Comprimidos Revestidos De Liberacao Prolongada",EMS,7896004761817,117.18,55.07,55.07,53.97,53.0,https://www.farmaponte.com.br/cloridrato-de-tansulosina-ems-04mg-caixa-com-30-comprimidos-revestidos-de-liberacao-prolongada/p,2026-05-05 09:09:17
