farmacia,url,nome,marca,ean_gtin,preco_de,preco_por,desconto_pct,preco_cartao,data_coleta
FarmaPonte,https://www.farmaponte.com.br/tamarine-12mg-caixa-com-20-capsulas/p,Tamarine 12mg com 20 Cápsulas,Cosmed,7896094906594,110.0,100.94,8.24,51.5,2026-05-04 13:27:40
FarmaPonte,https://www.farmaponte.com.br/pant-50mg-sol-capilar-50ml-c-3un/p,Pant Solucao Capilar 50Ml Com 3 Unidades,Aché,7896658035340,198.93,171.56,13.76,58.35,2026-05-04 13:27:43
FarmaPonte,https://www.farmaponte.com.br/fluconazol-medley-150mg-caixa-com-2-capsulas/p,Fluconazol - Medley 150mg caixa com 2 cápsulas,,7896422505079,41.13,12.09,70.61,12.34,2026-05-04 13:27:46
FarmaPonte,https://www.farmaponte.com.br/latanoprosta-005mg-col-geo/p,Latanoprosta 50mcg mL,Geolab,7899095238299,153.24,64.36,18.0,64.36,2026-05-04 13:27:49
FarmaPonte,https://www.farmaponte.com.br/spray-nasal-cimespray-9mg-ml-cimed-50ml/p,Spray Nasal Cimespray 9mg mL Cimed 50mL,,,11.89,7.72,35.07,7.88,2026-05-04 13:27:52
FarmaPonte,https://www.farmaponte.com.br/tadalafila-5mg-germed-caixa-com-30-comprimidos-revestidos/p,"Tadalafila 5Mg Germed, Caixa Com 30 Comprimidos Revestidos",,7896004749716,106.03,49.87,52.97,50.89,2026-05-04 13:27:55
FarmaPonte,https://www.farmaponte.com.br/espironolactona-ems-100mg-caixa-com-30-comprimidos/p,"Espironolactona Ems 100Mg, Caixa Com 30 Comprimidos",EMS,7896004716138,50.09,40.25,19.64,41.07,2026-05-04 13:28:00
FarmaPonte,https://www.farmaponte.com.br/colaten-plenne-com-30-saches/p,Colaten Plenne Com 30 Saches,,7896226109718,256.33,226.09,11.8,76.9,2026-05-04 13:28:03
FarmaPonte,https://www.farmaponte.com.br/tamarine-4878mgg-4719mgg-frasco-com-150g-de-geleia-uso-oral-zero-acucar/p,"Tamarine 4,878Mg G + 4,719Mg G, Frasco Com 150G De Geleia Uso Oral, Zero Acucar",Cosmed,7897322709789,99.99,89.99,10.0,91.83,2026-05-04 13:28:05
FarmaPonte,https://www.farmaponte.com.br/naridrin-1mgml-02mgml-5mgml-caixa-com-1-frasco-com-30ml-de-solucao-de-uso-nasal/p,"Naridrin 1Mg Ml + 0,2Mg Ml + 5Mg Ml, Caixa Com 1 Frasco Com 30Ml De Solucao De Uso Nasal",EMS,7896004714578,38.96,15.73,59.63,16.05,2026-05-04 13:28:08
FarmaPonte,https://www.farmaponte.com.br/rosuvastatina-calcica-ems-20mg-caixa-com-30-comprimidos-revestidos/p,"Rosuvastatina Calcica Ems 20Mg, Caixa Com 30 Comprimidos Revestidos",EMS,7896004728858,211.85,41.52,80.4,42.37,2026-05-04 13:28:10
FarmaPonte,https://www.farmaponte.com.br/sinvastatina-multilab-20mg-caixa-com-30-comprimidos-revestidos/p,"Sinvastatina Multilab Nova Quimica 20Mg, Caixa Com 30 Comprimidos Revestidos",Multilab,7895296449274,19.79,3.57,81.96,6.73,2026-05-04 13:28:14
FarmaPonte,https://www.farmaponte.com.br/sintocalmy-600mg-caixa-com-30-comprimidos-revestidos/p,Sintocalmy 600mg 30 Comprimidos Revestidos,Aché,7896658021428,91.0,77.61,14.71,79.19,2026-05-04 13:28:18
FarmaPonte,https://www.farmaponte.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-laranja/p,"Sal De Frutas Eno 2 Envelopes Com 5G De Po Efervescente De Uso Oral, Laranja",PF Consumer Healthcare,7896015560034,4.99,4.89,2.0,4.99,2026-05-04 13:28:22
FarmaPonte,https://www.farmaponte.com.br/salicetil-100mg-blister-com-10-comprimidos/p,"Salicetil 100Mg, Blister Com 10 Comprimidos",Brasterápica,7898100242757,2.44,2.39,2.05,2.44,2026-05-04 13:28:27
FarmaPonte,https://www.farmaponte.com.br/aflexa-60cps/p,Aflexa colágeno 60 cápsulas,Kester,7908135001417,89.9,88.1,2.0,89.9,2026-05-04 13:28:32
FarmaPonte,https://www.farmaponte.com.br/dorflex-10cpr-x30/p,Dorflex 10 Comprimidos,Sanofi,7891058008628,8.51,8.34,2.0,8.51,2026-05-04 13:28:36
FarmaPonte,https://www.farmaponte.com.br/nicorette-4mg-mint-30gomas/p,Nicorette 4 Mg Mint 30 Gomas,Janssen-Cilag,7891010970888,112.98,110.72,2.0,56.49,2026-05-04 13:28:40
FarmaPonte,https://www.farmaponte.com.br/alendronato-sod-70mg-4cpr-ger/p,Alendronato sod 70mg 4cpr ger,,7896004715353,74.42,4.8,93.55,4.9,2026-05-04 13:28:44
FarmaPonte,https://www.farmaponte.com.br/neosoro-fluid-alto-volume-09-para-lavagem-nasal-com-30-saches-e-frasco-aplicador-de-240ml/p,"Neosoro Fluid Alto Volume 0,9  para Lavagem Nasal com 30 Sachês e Frasco Aplicador de 240mL",,7896714295305,95.85,47.43,50.52,51.0,2026-05-04 13:28:46
FarmaPonte,https://www.farmaponte.com.br/repelente-xo-inseto-icaridina-25-spr-100ml/p,Repelente xo inseto icaridina 25  spr 100ml,,7897947613072,96.97,52.9,45.45,52.9,2026-05-04 13:28:50
FarmaPonte,https://www.farmaponte.com.br/melagriao-0125mgml-0125mgml-00064mgml-caixa-com-1-frasco-com-150ml-de-xarope/p,"Melagriao 0,125Mg Ml + 0,125Mg Ml + 0,0064Mg Ml, Caixa Com 1 Frasco Com 150Ml De Xarope",Catarinense Pharma,7896023719899,27.3,26.75,2.01,27.3,2026-05-04 13:28:53
FarmaPonte,https://www.farmaponte.com.br/minancora-pom-30gr/p,Minancora Pomada 30 Gramas,Minâncora,7896044600091,22.01,18.22,17.22,18.59,2026-05-04 13:28:58
FarmaPonte,https://www.farmaponte.com.br/tadalafila-20mg-4-comprimidos-ems-generico/p,Tadalafila 20mg 4 comprimidos EMS Genérico,,7896004749648,42.92,16.83,60.79,17.17,2026-05-04 13:29:01
FarmaPonte,https://www.farmaponte.com.br/acido-ursodesoxicolico-ems-300mg-caixa-com-30-comprimidos/p,"Ácido Ursodesoxicólico EMS 300mg, caixa com 30 comprimidos",,7896004780191,200.46,105.65,47.3,62.15,2026-05-04 13:29:04
FarmaPonte,https://www.farmaponte.com.br/ducodil-5mg-caixa-com-20-comprimidos-revestidos/p,"Ducodil 5Mg, Caixa Com 20 Comprimidos Revestidos",Cimed,7896523210865,11.67,5.54,52.53,8.65,2026-05-04 13:29:07
FarmaPonte,https://www.farmaponte.com.br/allegra-6mgml-caixa-com-1-frasco-com-60ml-de-suspensao-de-uso-oral-seringa-dosadora/p,"Allegra 6Mg Ml, Caixa Com 1 Frasco Com 60Ml De Suspensao De Uso Oral",Sanofi,7891058002589,40.1,36.1,9.98,36.84,2026-05-04 13:29:11
FarmaPonte,https://www.farmaponte.com.br/metformina-850-30-teu-gen/p,Cloridrato de Metformina 850mg Teuto,Teuto,7896112126485,13.09,6.15,53.02,6.28,2026-05-04 13:29:14
FarmaPonte,https://www.farmaponte.com.br/dipirona-monoidratada-comprimido-ems-500mg-blister-com-10-comprimidos/p,"Dipirona Monoidratada Comprimido Ems 500Mg, Blister Com 10 Comprimidos",EMS,7896004703398,9.55,6.56,31.31,6.69,2026-05-04 13:29:17
FarmaPonte,https://www.farmaponte.com.br/cetobeta-cre-30gr/p,Cetobeta creme bisnaga 30g,,7898168001280,42.74,27.91,34.7,28.48,2026-05-04 13:29:21
FarmaPonte,https://www.farmaponte.com.br/fortice-com-30-comprimidos/p,Fortice Com 30 Comprimidos,,7891317007560,223.9,191.09,14.65,65.0,2026-05-04 13:29:24
FarmaPonte,https://www.farmaponte.com.br/pantogar-neo-com-90-capsulas/p,Pantogar Neo com 90 Capsulas,,7896112407164,200.96,174.94,12.95,59.5,2026-05-04 13:29:26
FarmaPonte,https://www.farmaponte.com.br/valsartana-hct-80mg-125mg-caixa-com-30-comprimidos-revestidos/p,"Valsartana Hct 80Mg + 12,5Mg, Caixa Com 30 Comprimidos Revestidos",,7896181922797,64.07,48.34,24.55,49.33,2026-05-04 13:29:30
FarmaPonte,https://www.farmaponte.com.br/ibuprofeno-600mg-10cpr-prat-x28/p,Ibuprofeno 600 Mg 10 Comprimidos Prat,Prati-Donaduzzi,7898148307470,21.55,19.0,11.83,19.39,2026-05-04 13:29:33
FarmaPonte,https://www.farmaponte.com.br/cloridrato-de-tansulosina-ems-04mg-caixa-com-30-comprimidos-revestidos-de-liberacao-prolongada/p,"Cloridrato De Tansulosina Ems 0,4Mg, Caixa Com 30 Comprimidos Revestidos De Liberacao Prolongada",EMS,7896004761817,117.18,53.97,53.94,55.07,2026-05-04 13:29:37
FarmaPonte,https://www.farmaponte.com.br/tamarine-caixa-com-20-capsulas/p,Tamarine Caixa Com 20 Capsulas,Cosmed,7896179850040,100.99,94.14,6.78,96.06,2026-05-04 13:29:41
FarmaPonte,https://www.farmaponte.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-tradicional/p,"Sal De Frutas Eno 2 Envelopes Com 5G De Po Efervescente De Uso Oral, Tradicional",PF Consumer Healthcare,7896015560027,4.99,4.89,2.0,4.99,2026-05-04 13:29:45
FarmaPonte,https://www.farmaponte.com.br/emistin-comprimido-1mg-05mg-caixa-com-20-comprimidos/p,"Emistin Comprimido 1Mg + 0,5Mg, Caixa Com 20 Comprimidos",EMS,7896004801902,58.0,37.22,35.83,37.98,2026-05-04 13:29:48
